NOC,Description,Industry,Variable,Geographic Area,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,1st  5-year CAGR,2nd 5-year CAGR,10-year CAGR
#T,Total,Other retail trade (excluding cars and personal care) ,Employment,British Columbia,233954.88,235673.12,236896.63,238394.63,239903.33,241599.04,243654.86,245243.56,246448.66,247293.34,248075.74,0.60%,0.50%,0.60%
#T,Total,Air transportation,Employment,British Columbia,15048.79,15263.93,15553.23,15800.78,15996.1,16256.82,16542.38,16811.64,17009.38,17179.24,17353.27,1.60%,1.30%,1.40%
#T,Total,Rail transportation,Employment,British Columbia,5440.22,5671.43,5714.55,5710.44,5747.17,5912.19,5979.07,6018.57,6051.51,6096.63,6153.36,1.70%,0.80%,1.20%
#T,Total,Water transportation,Employment,British Columbia,6987.56,7033.33,7075.06,7110.44,7140.39,7179.41,7226.34,7263.01,7311.58,7345.39,7397.99,0.50%,0.60%,0.60%
#T,Total,Truck transportation,Employment,British Columbia,39435.92,40263.34,41064.42,41684.92,42193.22,42885.89,43574.28,44197.38,44648.17,45037.33,45445.46,1.70%,1.20%,1.40%
#T,Total,Support activities for transportation,Employment,British Columbia,24948.46,25657.68,26150.41,26512.25,26818.31,27357.94,27831.73,28251.06,28563.8,28849.55,29151.88,1.90%,1.30%,1.60%
#T,Total,"Postal service, couriers and messengers",Employment,British Columbia,15256.18,15591.34,15664.4,15682.63,15831.49,16314.98,16578.34,16788.95,16959.66,17143.51,17344.66,1.40%,1.20%,1.30%
#T,Total,"Transit, sightseeing, and pipeline transportation",Employment,British Columbia,24201.41,24231.19,24630.19,25030.83,25397.5,25890.43,26426.73,26947.4,27315.51,27640.88,27951.12,1.40%,1.50%,1.50%
#T,Total,Warehousing and storage,Employment,British Columbia,10119.94,9724.26,9606.91,9603.2,9679.2,9910.56,10085.55,10244.82,10365.52,10480.76,10602.69,-0.40%,1.40%,0.50%
#T,Total,Publishing industries,Employment,British Columbia,12250.6,12723.7,13117.6,13498.19,13707.13,14037.08,14270.19,14462.35,14641.28,14825.53,15019.49,2.80%,1.40%,2.10%
#T,Total,Motion picture and sound recording industries,Employment,British Columbia,26822.97,27741.14,28680.65,29614.85,30542.21,31506.83,32611.51,33709.91,34765.16,35805.81,36877.17,3.30%,3.20%,3.20%
#T,Total,Telecommunications,Employment,British Columbia,17685.02,17868.98,18054.34,18260.91,18300.47,18310.65,18607.4,18696.55,18925.48,19156.37,19399.08,0.70%,1.20%,0.90%
#T,Total,"Broadcasting, data processing, and information",Employment,British Columbia,10002.76,10320.14,10589.13,10804.53,10971.4,11096.94,11283.04,11459.74,11609.94,11742.53,11875.46,2.10%,1.40%,1.70%
#T,Total,Finance,Employment,British Columbia,65829.49,67463.53,68760.28,69778.89,70655.48,71361.43,72148.86,72939.76,73678,74411.07,75200.81,1.60%,1.10%,1.30%
#T,Total,Insurance carriers and related activities,Employment,British Columbia,32021.26,32412.19,32845.94,33244.51,33631.41,33978.27,34341.03,34705.79,35052.75,35403.34,35784.8,1.20%,1.00%,1.10%
#T,Total,Real estate rental and leasing,Employment,British Columbia,54742.99,54560.83,54784,55174.93,55735.53,56418.67,57012.53,57592.62,58154.78,58740.64,59376.91,0.60%,1.00%,0.80%
#T,Total,"Architectural, engineering and related services",Employment,British Columbia,40790.2,42314.68,43419.09,44299.78,45190.93,46219.19,47197.26,48077.07,48862.17,49591.84,50341.53,2.50%,1.70%,2.10%
#T,Total,Computer systems design and related services,Employment,British Columbia,47797.09,49183.78,50698.86,51947.35,53116.21,54897.72,57064.98,59487.65,61938.89,64581.34,67005.07,2.80%,4.10%,3.40%
#T,Total,"Management, scientific and technical consulting services",Employment,British Columbia,25215.46,25675.16,26137.31,26594.58,27075.09,27580.69,28139.89,28662.37,29122.31,29494.72,29882.49,1.80%,1.60%,1.70%
#T,Total,"Legal, accounting, design, research, and advertising services",Employment,British Columbia,91929.58,93005.01,94795.55,97040.24,99295.52,100977.95,102909.56,104607.85,106153.37,107124.31,108619.42,1.90%,1.50%,1.70%
#T,Total,Management of companies and enterprises & administrative and support,Employment,British Columbia,105425.31,107103.5,108888.7,110546.47,112313.49,113806.25,115371.28,116578.84,117236.42,117819.25,118127.35,1.50%,0.70%,1.10%
#T,Total,Elementary and secondary schools,Employment,British Columbia,91882.2,92494.69,92906.78,93520.92,94287.7,95095.76,95809.14,96300.92,96809,97481.65,98396.28,0.70%,0.70%,0.70%
#T,Total,Community colleges,Employment,British Columbia,10319.64,10327.84,10362.7,10399.4,10431.84,10469.13,10554.33,10652.15,10784.37,10950.22,11107.63,0.30%,1.20%,0.70%
#T,Total,Universities,Employment,British Columbia,35647.4,35664.35,35783.1,35903.22,35997.69,36085.55,36355.35,36691.15,37168.61,37763.48,38379.15,0.20%,1.20%,0.70%
#T,Total,Private and  trades education,Employment,British Columbia,29882.87,29958.43,30152.15,30231.04,30141.06,29984.3,29906.48,29900.11,30034.68,30276.21,30410.52,0.10%,0.30%,0.20%
#T,Total,Ambulatory health care services,Employment,British Columbia,91643.39,93530.6,95632.31,97752.46,99825.67,101958.44,104211.21,106520.93,108994.74,111566.85,114206.44,2.20%,2.30%,2.20%
#T,Total,Hospitals,Employment,British Columbia,101180.56,102316.8,103669.49,104875.93,105995.48,107178.38,108471.11,109832.65,111348.03,112954.72,114619.36,1.20%,1.40%,1.30%
#T,Total,Nursing and residential care facilities,Employment,British Columbia,51804.54,53484.17,55318.29,57196.54,59076.59,61040.36,63119.7,65343.59,67735.73,70263.3,72902.54,3.30%,3.60%,3.50%
#T,Total,Social assistance,Employment,British Columbia,64066.22,64952.59,65868.74,66807.94,67768.39,68737.72,69708.26,70662.59,71627.99,72606.19,73584.15,1.40%,1.40%,1.40%
#T,Total,"Performing arts, spectator sports and related industries",Employment,British Columbia,21193.11,21438.57,21710.77,21991.98,22301.55,22674.87,23053.97,23403.06,23717.19,24015.61,24319.66,1.40%,1.40%,1.40%
#T,Total,"Amusement, gambling and recreation industries",Employment,British Columbia,46641.64,47045.03,47636.97,48386.45,49077.19,49704.35,50518.19,51293.46,51969.66,52583.67,53202.35,1.30%,1.40%,1.30%
#T,Total,Heritage institutions,Employment,British Columbia,3612.46,3741.52,3822.31,3884.35,3947.99,4022.61,4090.74,4152.45,4209.48,4265.11,4322.35,2.20%,1.40%,1.80%
#T,Total,Accommodation services,Employment,British Columbia,37622.31,38432.14,38979.61,39561.96,40105.83,40625.65,41201.76,41731.25,42234.91,42732.83,43244.33,1.50%,1.30%,1.40%
#T,Total,Food services and drinking places,Employment,British Columbia,147405.68,151430.03,154534.62,156966.14,158854.62,160908.79,163428.77,165885.54,168117.45,170188.9,172271.35,1.80%,1.40%,1.60%
#T,Total,"Repair, personal and non-profit services",Employment,British Columbia,109862.95,112276.65,114118.14,115343.05,116729.58,118053.33,119448.25,120867,121861.03,122679.01,123482.63,1.40%,0.90%,1.20%
#T,Total,Federal government public administration,Employment,British Columbia,36772.37,37122.89,37521.1,37950.44,38365.6,38846.98,39196.9,39553.74,39987.68,40498.37,41013.63,1.10%,1.10%,1.10%
#T,Total,Provincial and territorial public administration,Employment,British Columbia,30575.88,30814.06,31050.41,31314.74,31573.5,31821.03,32089.48,32355.4,32615.31,32873.56,33135.7,0.80%,0.80%,0.80%
#T,Total,Local and indigenous public administration,Employment,British Columbia,35250.07,35521.42,35730.17,35957.57,36164.27,36453.4,36872.91,37339.02,37891.14,38441.94,39000.26,0.70%,1.40%,1.00%
#0011,"Legislators											",All industries,Employment,British Columbia,763.08,769.64,775.24,781.3,787.5,794.73,803.17,812.14,821.67,831.41,841.65,0.80%,1.20%,1.00%
#0011,"Legislators											","Broadcasting, data processing, and information",Employment,British Columbia,8.28,8.4,8.57,8.73,8.85,8.93,9.09,9.24,9.37,9.48,9.58,1.50%,1.40%,1.50%
#0011,"Legislators											",Elementary and secondary schools,Employment,British Columbia,56.43,56.81,57.01,57.32,57.79,58.25,58.66,58.99,59.32,59.7,60.16,0.60%,0.60%,0.60%
#0011,"Legislators											",Private and  trades education,Employment,British Columbia,13.04,13.1,13.15,13.16,13.11,13.03,12.99,12.99,13.02,13.09,13.15,0.00%,0.20%,0.10%
#0011,"Legislators											",Hospitals,Employment,British Columbia,12.96,13.1,13.28,13.42,13.45,13.49,13.54,13.62,13.76,13.94,14.13,0.80%,0.90%,0.90%
#0011,"Legislators											",Social assistance,Employment,British Columbia,12,12.17,12.3,12.43,12.67,12.91,13.17,13.43,13.69,13.96,14.24,1.50%,2.00%,1.70%
#0011,"Legislators											","Repair, personal and non-profit services",Employment,British Columbia,30.36,31.18,31.92,32.45,32.97,33.35,33.74,34.12,34.39,34.64,34.92,1.90%,0.90%,1.40%
#0011,"Legislators											",Federal government public administration,Employment,British Columbia,44.28,44.71,45.12,45.62,46.12,46.74,47.16,47.6,48.14,48.74,49.35,1.10%,1.10%,1.10%
#0011,"Legislators											",Provincial and territorial public administration,Employment,British Columbia,126.05,126.98,127.86,128.86,129.85,130.85,131.9,132.99,134.11,135.23,136.32,0.80%,0.80%,0.80%
#0011,"Legislators											",Local and indigenous public administration,Employment,British Columbia,459.69,463.19,466.02,469.32,472.71,477.17,482.91,489.16,495.86,502.62,509.79,0.70%,1.30%,1.00%
#0012,"Senior government managers and officials								",All industries,Employment,British Columbia,1812.22,1826.77,1840.51,1855.63,1870.63,1887.62,1905.84,1924.6,1944.6,1965.15,1986.22,0.80%,1.00%,0.90%
#0012,"Senior government managers and officials								",Farms,Employment,British Columbia,41.09,41.25,41.32,41.37,41.42,41.52,41.61,41.67,41.71,41.73,41.77,0.20%,0.10%,0.20%
#0012,"Senior government managers and officials								",Machinery manufacturing,Employment,British Columbia,8.78,8.39,8.27,8.2,8.18,8.21,8.21,8.22,8.22,8.21,8.2,-1.30%,0.00%,-0.70%
#0012,"Senior government managers and officials								",Telecommunications,Employment,British Columbia,4.83,4.95,5,5.18,5.2,5.37,5.49,5.59,5.7,5.8,5.91,2.10%,1.90%,2.00%
#0012,"Senior government managers and officials								",Insurance carriers and related activities,Employment,British Columbia,10.15,10.29,10.42,10.53,10.65,10.77,10.89,11,11.11,11.23,11.36,1.20%,1.10%,1.10%
#0012,"Senior government managers and officials								",Real estate rental and leasing,Employment,British Columbia,9.49,9.42,9.44,9.49,9.58,9.71,9.8,9.9,10,10.11,10.23,0.50%,1.00%,0.80%
#0012,"Senior government managers and officials								",Computer systems design and related services,Employment,British Columbia,12.14,12.47,12.84,13.13,13.41,13.83,14.37,14.99,15.62,16.32,16.93,2.60%,4.10%,3.40%
#0012,"Senior government managers and officials								","Legal, accounting, design, research, and advertising services",Employment,British Columbia,41.11,42,42.83,43.61,44.37,44.68,45.02,45.3,45.47,45.56,45.78,1.70%,0.50%,1.10%
#0012,"Senior government managers and officials								","Repair, personal and non-profit services",Employment,British Columbia,10.05,10.21,10.33,10.39,10.47,10.56,10.66,10.77,10.83,10.86,10.89,1.00%,0.60%,0.80%
#0012,"Senior government managers and officials								",Federal government public administration,Employment,British Columbia,241.53,243.85,246.61,249.53,252.32,255.56,257.85,260.07,262.83,266.15,269.53,1.10%,1.10%,1.10%
#0012,"Senior government managers and officials								",Provincial and territorial public administration,Employment,British Columbia,858.97,865.46,871.87,879.03,886.34,893.3,900.93,908.48,915.96,923.38,930.92,0.80%,0.80%,0.80%
#0012,"Senior government managers and officials								",Local and indigenous public administration,Employment,British Columbia,574.08,578.48,581.6,585.17,588.69,594.11,601,608.6,617.14,625.8,634.68,0.70%,1.30%,1.00%
#0013,"Senior managers - financial, communications and other business services				",All industries,Employment,British Columbia,8745.53,8908.36,9085.68,9252.1,9414.89,9597.35,9806.03,10015.39,10215.91,10412.3,10608.74,1.90%,2.00%,2.00%
#0013,"Senior managers - financial, communications and other business services				",Telecommunications,Employment,British Columbia,144.53,145.41,146.99,148.86,149.47,149.46,151.89,152.9,154.84,156.8,158.84,0.70%,1.20%,0.90%
#0013,"Senior managers - financial, communications and other business services				",Finance,Employment,British Columbia,1620.9,1660.18,1692.25,1717.56,1739.24,1756.34,1775.73,1795.43,1813.91,1832.21,1851.93,1.60%,1.10%,1.30%
#0013,"Senior managers - financial, communications and other business services				",Insurance carriers and related activities,Employment,British Columbia,378.72,383.57,388.62,393.25,397.82,402.06,406.34,410.64,414.73,418.88,423.4,1.20%,1.00%,1.10%
#0013,"Senior managers - financial, communications and other business services				",Real estate rental and leasing,Employment,British Columbia,983.7,979.18,982.58,989.16,999.05,1011.42,1021.94,1032.29,1042.51,1053.24,1065,0.60%,1.00%,0.80%
#0013,"Senior managers - financial, communications and other business services				","Architectural, engineering and related services",Employment,British Columbia,575.09,596.89,612.8,625.56,638.21,653,667.39,680.32,691.92,702.72,713.8,2.60%,1.80%,2.20%
#0013,"Senior managers - financial, communications and other business services				",Computer systems design and related services,Employment,British Columbia,2113.85,2172.07,2237,2291.91,2343.4,2422.34,2518.47,2625.84,2734.6,2852.01,2959.85,2.80%,4.10%,3.40%
#0013,"Senior managers - financial, communications and other business services				","Management, scientific and technical consulting services",Employment,British Columbia,937.93,954.9,971.37,987.95,1005.5,1025.19,1046.84,1066.88,1084.75,1099.25,1114.37,1.80%,1.70%,1.70%
#0013,"Senior managers - financial, communications and other business services				","Legal, accounting, design, research, and advertising services",Employment,British Columbia,1271.63,1285.13,1310.44,1342.74,1375.11,1400.53,1429.56,1455,1478.43,1493.3,1516.11,1.90%,1.60%,1.80%
#0013,"Senior managers - financial, communications and other business services				",Management of companies and enterprises & administrative and support,Employment,British Columbia,719.18,731.03,743.61,755.1,767.08,776.99,787.86,796.1,800.21,803.92,805.46,1.60%,0.70%,1.10%
#0014,"Senior managers - health, education, social and community services and membership organizations	",All industries,Employment,British Columbia,3577.94,3633.34,3684.42,3726.9,3775.5,3822.94,3875.47,3929.42,3982.5,4037.39,4092.63,1.30%,1.40%,1.40%
#0014,"Senior managers - health, education, social and community services and membership organizations	",Elementary and secondary schools,Employment,British Columbia,164.13,165.11,165.67,166.62,167.92,169.28,170.5,171.07,171.71,172.72,174.39,0.60%,0.60%,0.60%
#0014,"Senior managers - health, education, social and community services and membership organizations	",Community colleges,Employment,British Columbia,62.12,62.33,62.71,63.04,63.37,63.72,64.33,65,65.92,66.97,67.96,0.50%,1.30%,0.90%
#0014,"Senior managers - health, education, social and community services and membership organizations	",Universities,Employment,British Columbia,224.64,224.7,225.35,225.98,226.48,226.99,228.64,230.77,233.76,237.5,241.35,0.20%,1.20%,0.70%
#0014,"Senior managers - health, education, social and community services and membership organizations	",Private and  trades education,Employment,British Columbia,370.61,371.6,374.06,375.09,373.93,371.95,370.88,370.96,372.8,376.1,377.83,0.10%,0.30%,0.20%
#0014,"Senior managers - health, education, social and community services and membership organizations	",Ambulatory health care services,Employment,British Columbia,278.17,283.83,290.26,296.74,303.1,309.57,316.47,323.42,330.83,338.5,346.35,2.20%,2.30%,2.20%
#0014,"Senior managers - health, education, social and community services and membership organizations	",Hospitals,Employment,British Columbia,203.43,205.58,208.26,210.69,213.05,215.45,218.08,220.75,223.7,226.8,230,1.20%,1.30%,1.20%
#0014,"Senior managers - health, education, social and community services and membership organizations	",Nursing and residential care facilities,Employment,British Columbia,354.81,366.6,379.48,392.58,405.87,419.73,434.54,450.28,467.1,484.82,503.3,3.40%,3.70%,3.60%
#0014,"Senior managers - health, education, social and community services and membership organizations	",Social assistance,Employment,British Columbia,553.76,558.34,560.72,563.27,571.59,579.93,588.22,595.28,602.33,609.5,617.09,0.90%,1.20%,1.10%
#0014,"Senior managers - health, education, social and community services and membership organizations	","Repair, personal and non-profit services",Employment,British Columbia,1366.27,1395.25,1417.89,1432.89,1450.19,1466.31,1483.8,1501.9,1514.35,1524.48,1534.36,1.40%,0.90%,1.20%
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					",All industries,Employment,British Columbia,6629.13,6751.69,6842.7,6923.01,6997.22,7073.25,7165.91,7248.53,7316.37,7375.35,7431.67,1.30%,1.00%,1.10%
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					",Wholesale trade,Employment,British Columbia,2176.42,2224.42,2252.22,2272.37,2289.23,2306.81,2330.3,2349.79,2364.93,2376.22,2386.49,1.20%,0.70%,0.90%
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					",Motor vehicle and parts dealers,Employment,British Columbia,212.11,216.09,219.12,221.71,223.57,226.16,229.2,232.09,234.81,237.4,240.01,1.30%,1.20%,1.20%
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					",Health and personal care stores,Employment,British Columbia,107.46,109.39,110.55,111.48,112.3,113.16,114.26,115.19,115.93,116.48,116.98,1.00%,0.70%,0.90%
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					",Other retail trade (excluding cars and personal care) ,Employment,British Columbia,1284.89,1292.3,1298.51,1306.2,1314,1322.93,1334.68,1344.07,1351.04,1355.93,1360.4,0.60%,0.60%,0.60%
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					",Motion picture and sound recording industries,Employment,British Columbia,273.87,284.52,294.55,304.26,313.89,324.05,335.56,347.02,358.04,368.94,380.17,3.40%,3.20%,3.30%
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","Broadcasting, data processing, and information",Employment,British Columbia,152.1,157.9,162.41,165.86,168.54,170.54,173.4,176.15,178.5,180.56,182.61,2.30%,1.40%,1.80%
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					",Management of companies and enterprises & administrative and support,Employment,British Columbia,555.67,565.42,575.13,584,593.26,601.08,609.59,616.06,619.35,622.25,623.43,1.60%,0.70%,1.20%
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","Performing arts, spectator sports and related industries",Employment,British Columbia,233.08,235.14,237.77,240.63,243.76,247.51,251.64,255.49,258.91,262.12,265.38,1.20%,1.40%,1.30%
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","Amusement, gambling and recreation industries",Employment,British Columbia,406.03,408.73,413.12,419.22,424.99,430.41,437.45,444.19,450.07,455.45,460.91,1.20%,1.40%,1.30%
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					",Heritage institutions,Employment,British Columbia,61.13,64.22,65.84,66.91,67.98,69.28,70.41,71.43,72.35,73.24,74.15,2.50%,1.40%,1.90%
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					",Accommodation services,Employment,British Columbia,425.27,434.2,440.21,446.86,453.02,458.85,465.45,471.5,477.24,482.88,488.65,1.50%,1.30%,1.40%
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					",Food services and drinking places,Employment,British Columbia,418.26,429.59,438.1,444.74,449.74,455.56,463.08,470.51,477.33,483.71,490.13,1.70%,1.50%,1.60%
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","Repair, personal and non-profit services",Employment,British Columbia,322.81,329.77,335.17,338.76,342.94,346.91,350.9,355.04,357.88,360.17,362.36,1.50%,0.90%,1.20%
#0016,"Senior managers - construction, transportation, production and utilities				",All industries,Employment,British Columbia,8280.85,8272.38,8278.54,8277.52,8307.28,8395.47,8507.38,8580.83,8634.8,8654.87,8666.05,0.30%,0.60%,0.50%
#0016,"Senior managers - construction, transportation, production and utilities				",Farms,Employment,British Columbia,75.76,76.24,76.39,76.61,76.85,77.17,77.51,77.74,77.9,78,78.15,0.40%,0.30%,0.30%
#0016,"Senior managers - construction, transportation, production and utilities				",Forestry and logging,Employment,British Columbia,71.94,70.56,69.69,68.54,67.44,66.42,65.65,62.75,60.1,57.86,57.18,-1.60%,-3.00%,-2.30%
#0016,"Senior managers - construction, transportation, production and utilities				","Fishing, hunting and trapping",Employment,British Columbia,16.86,16.17,16.37,16.2,16.31,16.25,16.84,17.01,16.84,16.59,16.33,-0.70%,0.10%,-0.30%
#0016,"Senior managers - construction, transportation, production and utilities				",Support activities for agriculture and forestry,Employment,British Columbia,132.64,130.82,128.54,125.94,124.82,124.3,124.47,123.86,122.57,121.31,120.19,-1.30%,-0.70%,-1.00%
#0016,"Senior managers - construction, transportation, production and utilities				",Oil and gas extraction,Employment,British Columbia,42.59,44.36,46.58,49.96,49.76,49.57,49.59,49.95,49.97,50,50.37,3.10%,0.30%,1.70%
#0016,"Senior managers - construction, transportation, production and utilities				",Mining     ,Employment,British Columbia,380.35,385.66,401.64,399.42,413.82,431.52,467.43,484.54,490.74,488.04,482.51,2.60%,2.30%,2.40%
#0016,"Senior managers - construction, transportation, production and utilities				",Support activities for mining and oil and gas extraction,Employment,British Columbia,266.64,273.64,282.64,277.68,275.45,275.08,282.21,280.93,274.78,271.94,267.59,0.60%,-0.60%,0.00%
#0016,"Senior managers - construction, transportation, production and utilities				",Utilities,Employment,British Columbia,180.34,181.54,182.31,182.76,183.1,183.6,184.58,186.36,186.7,186.75,186.72,0.40%,0.30%,0.30%
#0016,"Senior managers - construction, transportation, production and utilities				",Construction,Employment,British Columbia,2666.91,2594.25,2537.2,2517.85,2517.8,2549.96,2581.32,2607.67,2638.03,2645.01,2645.15,-0.90%,0.70%,-0.10%
#0016,"Senior managers - construction, transportation, production and utilities				","Food, beverage and tobacco manufacturing",Employment,British Columbia,413.19,419,424.3,429.02,433.99,439.17,443.37,447.73,451.98,456.34,460.49,1.20%,1.00%,1.10%
#0016,"Senior managers - construction, transportation, production and utilities				",Wood product manufacturing,Employment,British Columbia,250.3,251.8,251.09,250.48,248.91,247.81,246.88,245,243.63,242.09,239.98,-0.20%,-0.60%,-0.40%
#0016,"Senior managers - construction, transportation, production and utilities				",Paper manufacturing,Employment,British Columbia,79.83,79.16,78.16,77.19,76.43,75.19,74.13,73.24,72.15,71.58,71.33,-1.20%,-1.00%,-1.10%
#0016,"Senior managers - construction, transportation, production and utilities				",Primary metal manufacturing,Employment,British Columbia,36.86,44.94,43.43,41.73,41.34,43.13,43.1,42.79,42.73,42.85,43.06,3.20%,0.00%,1.60%
#0016,"Senior managers - construction, transportation, production and utilities				",Fabricated metal product manufacturing,Employment,British Columbia,210.47,216.02,218.49,219.52,219.53,219.49,220.1,220.66,221.24,221.53,221.78,0.80%,0.20%,0.50%
#0016,"Senior managers - construction, transportation, production and utilities				",Machinery manufacturing,Employment,British Columbia,276.28,274.11,272.63,271.32,270.85,271.7,272.24,272.68,273.26,273.64,273.98,-0.30%,0.20%,-0.10%
#0016,"Senior managers - construction, transportation, production and utilities				",Ship and boat building,Employment,British Columbia,48.19,49.23,50.2,51.09,52.28,53.27,53.82,54.44,55.05,55.55,56.23,2.00%,1.10%,1.60%
#0016,"Senior managers - construction, transportation, production and utilities				",Transportation equipment manufacturing (excluding shipbuilding),Employment,British Columbia,120.77,128.34,130.01,129.87,129.97,131.42,131.71,131.73,131.87,132.08,132.37,1.70%,0.10%,0.90%
#0016,"Senior managers - construction, transportation, production and utilities				",Other Manufacturing,Employment,British Columbia,1344.76,1331.81,1329.65,1323,1315.71,1311.09,1312.7,1315.49,1317.65,1315.75,1313.78,-0.50%,0.00%,-0.20%
#0016,"Senior managers - construction, transportation, production and utilities				",Air transportation,Employment,British Columbia,81.83,82.8,84.4,85.7,86.82,88.21,89.73,91.23,92.36,93.32,94.29,1.50%,1.30%,1.40%
#0016,"Senior managers - construction, transportation, production and utilities				",Water transportation,Employment,British Columbia,73.62,74.5,74.96,75.49,75.55,75.74,76.27,76.59,77.04,77.37,77.93,0.60%,0.60%,0.60%
